10, 1, 1000
10, 3, 1000
10, 7, 1000
10, 9, 1000
113, 71, 250000
11, 10, 1000
11, 1, 1000
11, 2, 1000
11, 3, 1000
11, 4, 1000
11, 5, 1000
11, 6, 1000
11, 7, 1000
11, 8, 1000
11, 9, 1000
12, 11, 8499
12, 1, 8498
12, 5, 8500
12, 7, 8500
13, 10, 1000
13, 11, 1000
13, 12, 1000
13, 1, 5001
13, 2, 1000
13, 3, 1000
13, 4, 1000
13, 5, 1000
13, 6, 1000
13, 7, 1000
13, 8, 9499
13, 9, 1000
14, 11, 1000
14, 13, 1000
14, 1, 1000
14, 3, 1000
14, 5, 1000
14, 9, 1000
15, 11, 1000
15, 13, 1000
15, 14, 1000
15, 1, 1000
15, 2, 1000
15, 4, 1000
15, 7, 1000
15, 8, 1000
16, 11, 2500
16, 13, 2500
16, 15, 2500
16, 1, 2500
16, 3, 2500
16, 5, 2499
16, 7, 2500
16, 9, 2500
17, 10, 1000
17, 11, 1000
17, 12, 1000
17, 13, 1000
17, 14, 1000
17, 15, 1000
17, 16, 1000
17, 1, 1000
17, 2, 1000
17, 3, 1000
17, 4, 1000
17, 5, 1000
17, 6, 1000
17, 7, 1000
17, 8, 1000
17, 9, 1000
18, 11, 2500
18, 13, 2500
18, 17, 2500
18, 1, 2500
18, 5, 2500
18, 7, 2500
19, 10, 1000
19, 11, 1000
19, 12, 1000
19, 13, 1000
19, 14, 1000
19, 15, 999
19, 16, 1000
19, 17, 1000
19, 18, 1000
19, 1, 1000
19, 2, 1000
19, 3, 1000
19, 4, 1000
19, 5, 1000
19, 6, 1000
19, 7, 999
19, 8, 1000
19, 9, 1000
20, 11, 1000
20, 13, 1000
20, 17, 1000
20, 19, 1000
20, 1, 1000
20, 3, 1000
20, 7, 1000
20, 9, 1000
21, 10, 30000
21, 11, 30000
21, 13, 38318
21, 16, 30000
21, 17, 30000
21, 19, 30000
21, 1, 34666
21, 20, 30000
21, 2, 30000
21, 4, 30000
21, 5, 30000
21, 8, 30000
22, 13, 4000
22, 15, 4000
22, 17, 4000
22, 19, 4000
22, 1, 4000
22, 21, 4000
22, 3, 4000
22, 5, 4000
22, 7, 4000
22, 9, 4000
23, 10, 4000
23, 11, 4000
23, 12, 4000
23, 13, 4000
23, 14, 4000
23, 15, 4000
23, 16, 4000
23, 17, 4000
23, 18, 4000
23, 19, 4000
23, 1, 4000
23, 20, 4000
23, 21, 4000
23, 22, 4000
23, 2, 4000
23, 3, 4000
23, 4, 4000
23, 5, 4000
23, 6, 4000
23, 7, 4000
23, 8, 4000
23, 9, 4000
24, 11, 4000
24, 13, 4000
24, 17, 4000
24, 19, 4000
24, 1, 4000
24, 23, 4000
24, 5, 4000
24, 7, 4000
25, 11, 4000
25, 12, 4000
25, 13, 4000
25, 14, 4000
25, 16, 4000
25, 17, 4000
25, 18, 4000
25, 19, 4000
25, 1, 4000
25, 21, 4000
25, 22, 4000
25, 23, 4000
25, 24, 4000
25, 2, 4000
25, 3, 4000
25, 4, 4000
25, 6, 4000
25, 7, 4000
25, 8, 4000
25, 9, 4000
26, 11, 4000
26, 15, 4000
26, 17, 4000
26, 19, 4000
26, 1, 4000
26, 21, 4000
26, 23, 4000
26, 25, 4000
26, 3, 4000
26, 5, 4000
26, 7, 4000
26, 9, 4000
27, 10, 4000
27, 11, 4000
27, 13, 4000
